Id,target
1000001,0.16726894052409672
1000002,0.09972514627049121
1000003,0.24310414519107623
1000004,0.5343207350058676
1000005,0.6227453529339851
1000006,0.20474815961852855
1000007,0.28538468541203366
1000008,0.466931537518583
1000009,0.6030815007572964
1000010,0.4014278069317101
1000011,0.3838359008673972
1000012,-0.5281038969200784
1000013,0.48438057035445464
1000014,0.4007923630552637
1000015,0.4712654735989729
1000016,0.673468734240456
1000017,0.6816864819777684
1000018,0.5578355927295789
1000019,0.8787493604070293
1000020,0.5373360606507969
1000021,0.6378739820440152
1000022,0.632422540051248
1000023,0.661236771743709
1000024,0.5352697382642391
1000025,0.3747452452337877
1000026,0.8541921974466807
1000027,0.044248338995517215
1000028,0.47819578549481756
1000029,0.6210264798046178
1000030,0.8182517129827875
1000031,0.7254390255501145
1000032,0.7362885156443902
1000033,0.674006103729606
1000034,0.12165536338675814
1000035,0.4815868200560335
1000036,0.4431246817493754
1000037,0.7884879058507855
1000038,0.8797272815443529
1000039,0.7332828373728083
1000040,0.5610543750645309
1000041,0.6854190380785116
1000042,0.790738716701637
1000043,0.042234672961502635
1000044,0.7002623058710017
1000045,0.41699184819391605
1000046,0.5423851324726272
1000047,0.817887134960115
1000048,0.5312570618989576
1000049,0.5808420257476973
1000050,0.6668086028225182
1000051,0.4545013554908434
1000052,0.4164571665211896
1000053,0.639333302453862
1000054,0.13523109005102282
1000055,0.20622427903842794
1000056,0.873132435612487
1000057,0.7578849236221452
1000058,0.456846914661734
1000059,0.5431348322055286
1000060,0.7251691953414978
1000061,0.8209460941291743
1000062,0.5329426581704247
1000063,0.5260906695197954
1000064,0.6041382331243639
1000065,0.7892611406477877
1000066,0.3866414473745975
1000067,0.6992817313203469
1000068,0.6487532042748234
1000069,0.49762448434453443
1000070,0.6915337415089656
1000071,0.671816079674207
1000072,0.684828397272405
1000073,0.27451728987242546
1000074,0.6950416380983068
1000075,0.7124631665979653
1000076,0.3109089829924879
1000077,0.8179829285697241
1000078,0.4968402417310111
1000079,0.3034684132355209
1000080,-0.0076100227913352
1000081,-0.15684406169508067
1000082,0.8566206339768863
1000083,0.7080019856664247
1000084,0.5022226987717334
1000085,0.8607685539219341
1000086,0.16915651835580456
1000087,-0.23099930718520395
1000088,0.6975982732473102
1000089,0.4092979204443038
1000090,0.8604774373781159
1000091,0.7833140861929107
