Id,target
1000001,1.4348202752598693
1000002,-1.263119490398278
1000003,-1.8303670912035623
1000004,-3.412381759136984
1000005,-4.184003204896457
1000006,-1.655102353180776
1000007,-2.037195813538805
1000008,-2.9202829390435836
1000009,-4.028034168970407
1000010,-2.5206635227724665
1000011,-2.469056513158422
1000012,-0.2891689163956843
1000013,-3.032245865793742
1000014,-2.485376125355611
1000015,-2.8493587806141676
1000016,-4.658479169204498
1000017,-4.825005677814895
1000018,-4.285276034086467
1000019,-7.544208972396506
1000020,-3.4588401690379897
1000021,-4.292975399206146
1000022,-4.2284926311497495
1000023,-4.57741410131384
1000024,-3.3871075740349
1000025,-2.293409425479343
1000026,-7.0751780668498725
1000027,-1.201168881510085
1000028,-2.9171683492481626
1000029,-4.086033207817314
1000030,-6.475325104752995
1000031,-5.328915718138081
1000032,-5.437105041769588
1000033,-4.596726864770142
1000034,-1.3339777483535755
1000035,-3.0797993859055097
1000036,-2.783749565627167
1000037,-6.131915442029024
1000038,-7.4792424731135
1000039,-5.425780434045553
1000040,-3.6856157909986895
1000041,-4.811868877569272
1000042,-6.107887027257302
1000043,1.0896070014701733
1000044,-5.09831666180458
1000045,-2.603294581243759
1000046,-3.477337828659926
1000047,-6.490454289511935
1000048,-3.399960328153383
1000049,-3.8040213139244203
1000050,-4.413340942052502
1000051,-2.8866944214074692
1000052,-2.7511730119357543
1000053,-4.328846862184995
1000054,-1.3041689637782965
1000055,-1.6072975833783951
1000056,-7.441340298577542
1000057,-5.7519582575838015
1000058,-2.827314146762439
1000059,-4.813830714647203
1000060,-5.300071849128424
1000061,-6.505399036470292
1000062,-4.014122363740799
1000063,-3.399516093011975
1000064,-3.996144993894081
1000065,-6.1580878982778255
1000066,-2.5343441479507787
1000067,-5.00629269280048
1000068,-4.455391700377552
1000069,-3.1552811192798114
1000070,-4.8622545165934365
1000071,-4.783798296342406
1000072,-4.838215324685859
1000073,-1.924570098395724
1000074,-4.918485082259641
1000075,-5.215663602888606
1000076,-2.1476401805701606
1000077,-6.541237085339624
1000078,-2.5262705344345315
